User_ID,Cust_name,Product_ID,Gender,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1,Age_Group
1002903,Sanskriti,P00125942,F,28,0,Maharashtra,Western,Healthcare,Auto,1,23952,,,26-35
1000732,Kartik,P00110942,F,35,1,Andhra Pradesh,Southern,Govt,Auto,3,23934,,,26-35
1001990,Bindu,P00118542,F,35,1,Uttar Pradesh,Central,Automobile,Auto,3,23924,,,26-35
1001425,Sudevi,P00237842,M,16,0,Karnataka,Southern,Construction,Auto,2,23912,,,0-17
1000588,Joni,P00057942,M,28,1,Gujarat,Western,Food Processing,Auto,2,23877,,,26-35
1000588,Joni,P00057942,M,28,1,Himachal Pradesh,Northern,Food Processing,Auto,1,23877,,,26-35
1001132,Balk,P00018042,F,25,1,Uttar Pradesh,Central,Lawyer,Auto,4,23841,,,18-25
1003224,Kushal,P00205642,M,35,0,Uttar Pradesh,Central,Govt,Auto,2,23809,,,26-35
1003650,Ginny,P00031142,F,26,1,Andhra Pradesh,Southern,Media,Auto,4,23799,,,26-35
1003829,Harshita,P00200842,M,34,0,Delhi,Central,Banking,Auto,1,23770,,,26-35
1000214,Kargatis,P00119142,F,20,0,Andhra Pradesh,Southern,Retail,Auto,2,23752,,,18-25
1004035,Elijah,P00080342,F,20,1,Andhra Pradesh,Southern,IT Sector,Auto,2,23730,,,18-25
1001680,Vasudev,P00324942,M,26,1,Andhra Pradesh,Southern,Automobile,Auto,4,23718,,,26-35
1000813,Lauren,P00289942,F,24,0,Andhra Pradesh,Southern,Govt,Auto,2,23664,,,18-25
1001193,Mick,P00004842,F,29,0,Andhra Pradesh,Southern,Aviation,Auto,1,23619,,,26-35
1001883,Praneet,P00029842,M,54,1,Uttar Pradesh,Central,Hospitality,Auto,1,23568,,,46-55
1000113,Ellis,P00180642,F,19,1,Andhra Pradesh,Southern,Govt,Auto,4,23546,,,18-25
1000416,Hrisheekesh,P00181842,F,46,1,Uttar Pradesh,Central,Banking,Auto,2,23525,,,46-55
1005256,Grant,P00101742,F,30,0,Andhra Pradesh,Southern,IT Sector,Auto,1,23518,,,26-35
1001505,Gilcrest,P00271842,F,53,0,Uttar Pradesh,Central,Automobile,Auto,2,23515,,,46-55
1000900,Skaria,P00317842,M,83,0,Karnataka,Southern,Automobile,Auto,3,23513,,,55+
1005908,Eric,P00282642,F,33,0,Andhra Pradesh,Southern,IT Sector,Auto,3,23462,,,26-35
1001101,Gibson,P00234742,F,40,0,Uttar Pradesh,Central,Banking,Auto,3,23456,,,36-45
1004736,Mahima,P00058042,F,25,1,Andhra Pradesh,Southern,Banking,Auto,4,23451,,,18-25
1004037,Etezadi,P00190542,M,54,1,Andhra Pradesh,Southern,Govt,Hand & Power Tools,2,23434,,,46-55
1002340,James,P00119642,F,39,1,Andhra Pradesh,Southern,Aviation,Auto,3,23389,,,36-45
1005664,Dean,P00111642,F,20,0,Andhra Pradesh,Southern,Aviation,Auto,2,23365,,,18-25
1002523,Aman,P00293342,F,32,1,Andhra Pradesh,Southern,Food Processing,Auto,3,23326,,,26-35
1002503,Mousam,P00220042,F,36,0,Andhra Pradesh,Southern,Automobile,Auto,2,23314,,,36-45
1002638,Damala,P00346242,F,35,1,Maharashtra,Western,Media,Auto,2,23306,,,26-35
1004505,Daniels,P00080042,F,55,1,Andhra Pradesh,Southern,Healthcare,Auto,4,23302,,,46-55
1004957,Inderpreet,P00111842,M,27,1,Jharkhand,Eastern,Govt,Auto,1,23285,,,26-35
1005649,Sweta,P00238542,M,20,1,Delhi,Central,Media,Auto,1,23281,,,18-25
1004508,Phonely,P00048742,F,32,0,Andhra Pradesh,Southern,Aviation,Auto,1,23270,,,26-35
1002520,Mike,P00310342,M,72,1,Himachal Pradesh,Northern,Media,Auto,4,23267,,,55+
